"list","item_1_condition","field_1_1","item_2_condition","field_2_1","item_3_condition","field_3_1","item_4_condition","field_4_1","item_5_condition","field_5_1"
26,"experiment=NPI-env=superlative-npi=ever-crucial_item=small-licensor=0-scope=0-npi_present=0-paradigm=562-acceptability=1","The adult often admired the small dishes that the actresses have bought.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=0-paradigm=689-acceptability=1","The patients wonder whether the waitress often works with the dancers.","experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=1-npi_present=1-paradigm=1801-acceptability=1","If the girl approaches any boys, the customer will examine the documentaries.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=quantifier-npi=ever-crucial_item=every-licensor=1-scope=1-npi_present=0-paradigm=1585-acceptability=1","Every waitress who had also loved a lot of actresses has lifted glasses."
27,"experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=0-paradigm=689-acceptability=1","The patients wonder whether the waitress often works with the dancers.","experiment=NPI-env=quantifier-npi=ever-crucial_item=every-licensor=1-scope=1-npi_present=0-paradigm=1585-acceptability=1","Every waitress who had also loved a lot of actresses has lifted glasses.","experiment=NPI-env=superlative-npi=ever-crucial_item=small-licensor=0-scope=0-npi_present=0-paradigm=562-acceptability=1","The adult often admired the small dishes that the actresses have bought.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=0-paradigm=689-acceptability=1","The patients wonder whether the waitress often works with the dancers."
28,"experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=1-npi_present=1-paradigm=1801-acceptability=1","If the girl approaches any boys, the customer will examine the documentaries.","experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=1-npi_present=1-paradigm=1801-acceptability=1","If the girl approaches any boys, the customer will examine the documentaries.","experiment=NPI-env=quantifier-npi=ever-crucial_item=every-licensor=1-scope=1-npi_present=0-paradigm=1585-acceptability=1","Every waitress who had also loved a lot of actresses has lifted glasses.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=superlative-npi=ever-crucial_item=small-licensor=0-scope=0-npi_present=0-paradigm=562-acceptability=1","The adult often admired the small dishes that the actresses have bought."
29,"experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=1611-acceptability=1","The cashiers wonder whether the guy worked with any students.","experiment=NPI-env=adverbs-npi=any-crucial_item=hardly-licensor=1-scope=0-npi_present=1-paradigm=1440-acceptability=0","The children who have hardly been at cafes should pass any grocery stores.","experiment=NPI-env=superlative-npi=any-crucial_item=best-licensor=1-scope=1-npi_present=0-paradigm=1185-acceptability=1","The movie theaters could resemble the best movie theaters that those patients have toured.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=some-licensor=0-scope=0-npi_present=1-paradigm=5528-acceptability=0","Any actors imagine that some rugs will resemble the dancer."
30,"experiment=NPI-env=adverbs-npi=any-crucial_item=hardly-licensor=1-scope=0-npi_present=1-paradigm=1440-acceptability=0","The children who have hardly been at cafes should pass any grocery stores.","experiment=NPI-env=superlative-npi=any-crucial_item=best-licensor=1-scope=1-npi_present=0-paradigm=1185-acceptability=1","The movie theaters could resemble the best movie theaters that those patients have toured.","experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=some-licensor=0-scope=0-npi_present=1-paradigm=5528-acceptability=0","Any actors imagine that some rugs will resemble the dancer.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=1611-acceptability=1","The cashiers wonder whether the guy worked with any students."
31,"experiment=NPI-env=superlative-npi=any-crucial_item=best-licensor=1-scope=1-npi_present=0-paradigm=1185-acceptability=1","The movie theaters could resemble the best movie theaters that those patients have toured.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=1611-acceptability=1","The cashiers wonder whether the guy worked with any students.","experiment=NPI-env=adverbs-npi=any-crucial_item=hardly-licensor=1-scope=0-npi_present=1-paradigm=1440-acceptability=0","The children who have hardly been at cafes should pass any grocery stores.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=superlative-npi=any-crucial_item=best-licensor=1-scope=1-npi_present=0-paradigm=1185-acceptability=1","The movie theaters could resemble the best movie theaters that those patients have toured."
32,"experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=some-licensor=0-scope=0-npi_present=1-paradigm=5528-acceptability=0","Any actors imagine that some rugs will resemble the dancer.","experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=some-licensor=0-scope=0-npi_present=1-paradigm=5528-acceptability=0","Any actors imagine that some rugs will resemble the dancer.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=1611-acceptability=1","The cashiers wonder whether the guy worked with any students.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=adverbs-npi=any-crucial_item=hardly-licensor=1-scope=0-npi_present=1-paradigm=1440-acceptability=0","The children who have hardly been at cafes should pass any grocery stores."
33,"experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=1-npi_present=0-paradigm=1629-acceptability=1","If the teenager examines the newspaper articles, the guest will care for the teenagers.","experiment=NPI-env=adverbs-npi=ever-crucial_item=hardly-licensor=1-scope=1-npi_present=0-paradigm=178-acceptability=1","The women hardly fortunately thought that a driver attacked the sheep.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=1639-acceptability=1","The girls wonder whether the actress references any stories.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=quantifier-npi=ever-crucial_item=every-licensor=1-scope=0-npi_present=1-paradigm=1833-acceptability=0","Every adult who can escape from some public parks would ever listen to many waiters."
34,"experiment=NPI-env=adverbs-npi=ever-crucial_item=hardly-licensor=1-scope=1-npi_present=0-paradigm=178-acceptability=1","The women hardly fortunately thought that a driver attacked the sheep.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=1639-acceptability=1","The girls wonder whether the actress references any stories.","experiment=NPI-env=quantifier-npi=ever-crucial_item=every-licensor=1-scope=0-npi_present=1-paradigm=1833-acceptability=0","Every adult who can escape from some public parks would ever listen to many waiters.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=1-npi_present=0-paradigm=1629-acceptability=1","If the teenager examines the newspaper articles, the guest will care for the teenagers."
35,"experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=1639-acceptability=1","The girls wonder whether the actress references any stories.","experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=1-npi_present=0-paradigm=1629-acceptability=1","If the teenager examines the newspaper articles, the guest will care for the teenagers.","experiment=NPI-env=adverbs-npi=ever-crucial_item=hardly-licensor=1-scope=1-npi_present=0-paradigm=178-acceptability=1","The women hardly fortunately thought that a driver attacked the sheep.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=1639-acceptability=1","The girls wonder whether the actress references any stories."
36,"experiment=NPI-env=quantifier-npi=ever-crucial_item=every-licensor=1-scope=0-npi_present=1-paradigm=1833-acceptability=0","Every adult who can escape from some public parks would ever listen to many waiters.","experiment=NPI-env=quantifier-npi=ever-crucial_item=every-licensor=1-scope=0-npi_present=1-paradigm=1833-acceptability=0","Every adult who can escape from some public parks would ever listen to many waiters.","experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=1-npi_present=0-paradigm=1629-acceptability=1","If the teenager examines the newspaper articles, the guest will care for the teenagers.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=adverbs-npi=ever-crucial_item=hardly-licensor=1-scope=1-npi_present=0-paradigm=178-acceptability=1","The women hardly fortunately thought that a driver attacked the sheep."
37,"experiment=NPI-env=quantifier-npi=any-crucial_item=a lot of-licensor=0-scope=0-npi_present=0-paradigm=237-acceptability=1","A lot of guests who insulted some girls were working with those customers.","experiment=NPI-env=adverbs-npi=ever-crucial_item=sometimes-licensor=0-scope=0-npi_present=1-paradigm=849-acceptability=0","The ladies ever explained that the waitresses had sometimes lifted the cup.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=0-npi_present=0-paradigm=1530-acceptability=1","The doctors wonder whether the guy should lift plates.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=superlative-npi=any-crucial_item=best-licensor=1-scope=0-npi_present=0-paradigm=1747-acceptability=1","Those newspaper articles could reference the best girl that patients have helped."
