""	"metadata"	"experiment"	"environment"	"npi"	"crucial_item"	"licensor"	"scope"	"npi_present"	"paradigm"	"acceptability"	"sentence"	"rand_int"
"12"	"experiment=NPI-env=adverbs-npi=ever-crucial_item=sometimes-licensor=0-scope=0-npi_present=1-paradigm=801"	"NPI"	"adverbs"	"ever"	"sometimes"	"0"	"0"	"1"	"801"	0	"The pedestrian ever thinks that the women might sometimes succeed."	5
"13"	"experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=some-licensor=0-scope=1-npi_present=0-paradigm=632"	"NPI"	"determiner_negation_biclausal"	"ever"	"some"	"0"	"1"	"0"	"632"	1	"In the adult's opinion, some waitresses might clearly say that the students struggle."	5
"14"	"experiment=NPI-env=quantifier-npi=ever-crucial_item=more than three-licensor=0-scope=1-npi_present=0-paradigm=1935"	"NPI"	"quantifier"	"ever"	"more than three"	"0"	"1"	"0"	"1935"	1	"More than three customers who could obviously see a lot of chairs have observed drivers."	5
"15"	"experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=0-npi_present=1-paradigm=55"	"NPI"	"sentential_negation_biclausal"	"ever"	"not"	"1"	"0"	"1"	"55"	0	"A driver ever does say that the movies had not won."	8
"16"	"experiment=NPI-env=superlative-npi=ever-crucial_item=bad-licensor=0-scope=1-npi_present=0-paradigm=836"	"NPI"	"superlative"	"ever"	"bad"	"0"	"1"	"0"	"836"	1	"The teenagers hugged the bad guest that the guests have often investigated."	11
"17"	"experiment=NPI-env=quantifier-npi=ever-crucial_item=all-licensor=1-scope=0-npi_present=0-paradigm=1066"	"NPI"	"quantifier"	"ever"	"all"	"1"	"0"	"0"	"1066"	1	"All men who do examine a lot of stories fortunately return to many women."	12
"18"	"experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=1-scope=1-npi_present=0-paradigm=1385"	"NPI"	"simplequestions"	"ever"	"?"	"1"	"1"	"0"	"1385"	1	"Did the pedestrian fortunately break the forks?"	14
"20"	"experiment=NPI-env=quantifier-npi=any-crucial_item=-licensor=0-scope=0-npi_present=0-paradigm=568"	"NPI"	"quantifier"	"any"	""	"0"	"0"	"0"	"568"	1	"Drivers who discussed a lot of banks brought these chairs."	15
"21"	"experiment=NPI-env=adverbs-npi=ever-crucial_item=rarely-licensor=1-scope=1-npi_present=0-paradigm=294"	"NPI"	"adverbs"	"ever"	"rarely"	"1"	"1"	"0"	"294"	1	"The student rarely clearly thinks that the women suffered."	18
"24"	"experiment=NPI-env=only-npi=ever-crucial_item=_-licensor=0-scope=1-npi_present=1-paradigm=37"	"NPI"	"only"	"ever"	"_"	"0"	"1"	"1"	"37"	0	"From what the pedestrian heard, even the guys will ever arrive at the cafes."	20
"27"	"experiment=NPI-env=superlative-npi=ever-crucial_item=new-licensor=0-scope=0-npi_present=1-paradigm=362"	"NPI"	"superlative"	"ever"	"new"	"0"	"0"	"1"	"362"	0	"The women ever break the new dishes that the people had cleaned."	22
"29"	"experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=not-licensor=1-scope=1-npi_present=0-paradigm=5012"	"NPI"	"sentential_negation_biclausal"	"any"	"not"	"1"	"1"	"0"	"5012"	1	"These teachers have not said that those gloves have shrunk."	24
"30"	"experiment=NPI-env=superlative-npi=any-crucial_item=new-licensor=0-scope=1-npi_present=1-paradigm=1031"	"NPI"	"superlative"	"any"	"new"	"0"	"1"	"1"	"1031"	0	"The women might insult the new museum that any waiters have exited."	26
"31"	"experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=1-npi_present=1-paradigm=70"	"NPI"	"conditional"	"ever"	"if"	"1"	"1"	"1"	"70"	1	"If the person ever talks to the pedestrians, the actors will bring the newspaper articles."	27
"32"	"experiment=NPI-env=quantifier-npi=any-crucial_item=more than three-licensor=0-scope=0-npi_present=1-paradigm=859"	"NPI"	"quantifier"	"any"	"more than three"	"0"	"0"	"1"	"859"	0	"More than three teachers who might scan many commentaries sold any dishes."	28
"33"	"experiment=NPI-env=quantifier-npi=any-crucial_item=more than three-licensor=0-scope=1-npi_present=1-paradigm=71"	"NPI"	"quantifier"	"any"	"more than three"	"0"	"1"	"1"	"71"	0	"More than three teenagers who were buying any pants have forgotten reports."	31
"34"	"experiment=NPI-env=only-npi=ever-crucial_item=_-licensor=0-scope=1-npi_present=0-paradigm=790"	"NPI"	"only"	"ever"	"_"	"0"	"1"	"0"	"790"	1	"Just as the dancer said, even the boys can often lift the glasses."	32
"35"	"experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=1388"	"NPI"	"questions"	"any"	"whether"	"0"	"0"	"0"	"1388"	1	"The ladies say that the customers were selling the forks."	32
"36"	"experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=0-npi_present=0-paradigm=565"	"NPI"	"conditional"	"ever"	"while"	"0"	"0"	"0"	"565"	1	"While the man investigates the customers, the customer will also admire the cups."	33
"37"	"experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=1-npi_present=1-paradigm=1021"	"NPI"	"questions"	"any"	"whether"	"0"	"1"	"1"	"1021"	0	"The girls say that the girl helped any ladies."	33
"38"	"experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=0-scope=1-npi_present=0-paradigm=1144"	"NPI"	"simplequestions"	"ever"	"?"	"0"	"1"	"0"	"1144"	1	"The patient could fortunately tour the grocery stores."	33
"40"	"experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=1-npi_present=0-paradigm=1863"	"NPI"	"conditional"	"any"	"while"	"0"	"1"	"0"	"1863"	1	"While the guy has these dishes, the patient will buy the cups."	35
"41"	"experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=no-licensor=1-scope=1-npi_present=1-paradigm=825"	"NPI"	"determiner_negation_biclausal"	"ever"	"no"	"1"	"1"	"1"	"825"	1	"In the student's opinion, no guests might ever say that the customers might love the dancers."	35
"42"	"experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=0-npi_present=1-paradigm=530"	"NPI"	"questions"	"ever"	"whether"	"0"	"0"	"1"	"530"	0	"The pedestrians ever say that the men might dislike the high schools."	36
"43"	"experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=0-npi_present=0-paradigm=5085"	"NPI"	"sentential_negation_biclausal"	"any"	"really"	"0"	"0"	"0"	"5085"	1	"Those teenagers have said that those actresses are really passing the college campus."	36
"44"	"experiment=NPI-env=superlative-npi=any-crucial_item=important-licensor=0-scope=0-npi_present=0-paradigm=1814"	"NPI"	"superlative"	"any"	"important"	"0"	"0"	"0"	"1814"	1	"Those guys praised the important driver that patients have hugged."	36
"46"	"experiment=NPI-env=adverbs-npi=ever-crucial_item=rarely-licensor=1-scope=0-npi_present=0-paradigm=76"	"NPI"	"adverbs"	"ever"	"rarely"	"1"	"0"	"0"	"76"	1	"The pedestrians also imagine that a man had rarely investigated the deer."	38
"47"	"experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=no-licensor=1-scope=1-npi_present=1-paradigm=5011"	"NPI"	"determiner_negation_biclausal"	"any"	"no"	"1"	"1"	"1"	"5011"	1	"From what the cashier heard, no doctors imagined that any ladies perform."	38
"48"	"experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=1-npi_present=0-paradigm=763"	"NPI"	"sentential_negation_biclausal"	"ever"	"not"	"1"	"1"	"0"	"763"	1	"The girls might not certainly say that the teenagers have interacted."	42
"49"	"experiment=NPI-env=superlative-npi=any-crucial_item=oldest-licensor=1-scope=1-npi_present=0-paradigm=1355"	"NPI"	"superlative"	"any"	"oldest"	"1"	"1"	"0"	"1355"	1	"The teachers hugged the oldest actress that these patients had investigated."	46
"51"	"experiment=NPI-env=quantifier-npi=any-crucial_item=-licensor=0-scope=1-npi_present=0-paradigm=114"	"NPI"	"quantifier"	"any"	""	"0"	"1"	"0"	"114"	1	"Patients who broke those glasses had criticized more than three pedestrians."	48
"54"	"experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=0-npi_present=1-paradigm=114"	"NPI"	"questions"	"ever"	"whether"	"1"	"0"	"1"	"114"	0	"The waiters ever wonder whether the actor might criticize the ladies."	49
"55"	"experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=1115"	"NPI"	"questions"	"any"	"whether"	"1"	"1"	"1"	"1115"	1	"The students wonder whether the drivers are bringing any glasses."	50
"56"	"experiment=NPI-env=superlative-npi=any-crucial_item=serious-licensor=0-scope=0-npi_present=1-paradigm=1097"	"NPI"	"superlative"	"any"	"serious"	"0"	"0"	"1"	"1097"	0	"Any documentaries could insult the serious pedestrians that customers have cared for."	52
"57"	"experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=1-npi_present=1-paradigm=1204"	"NPI"	"conditional"	"any"	"if"	"1"	"1"	"1"	"1204"	1	"If the student exits any museums, the woman will lift the books."	53
"59"	"experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=some-licensor=0-scope=0-npi_present=1-paradigm=741"	"NPI"	"determiner_negation_biclausal"	"ever"	"some"	"0"	"0"	"1"	"741"	0	"In the guest's opinion, the teenager had ever explained that some women date."	53
"61"	"experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=some-licensor=0-scope=0-npi_present=1-paradigm=5691"	"NPI"	"determiner_negation_biclausal"	"any"	"some"	"0"	"0"	"1"	"5691"	0	"As the doctor knows, any actresses imagine that some teenagers did stand up."	53
"62"	"experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=1-paradigm=1853"	"NPI"	"questions"	"any"	"whether"	"0"	"0"	"1"	"1853"	0	"Any customers say that the men boycott the college campuses."	53
"64"	"experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=0-npi_present=1-paradigm=5628"	"NPI"	"sentential_negation_biclausal"	"any"	"really"	"0"	"0"	"1"	"5628"	0	"Any waitresses could say that those patients are really investigating the high schools."	54
"68"	"experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=0-npi_present=0-paradigm=374"	"NPI"	"sentential_negation_biclausal"	"ever"	"not"	"1"	"0"	"0"	"374"	1	"The dancers also do explain that the documentaries not do disagree."	56
"69"	"experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=0-paradigm=1951"	"NPI"	"questions"	"any"	"whether"	"1"	"1"	"0"	"1951"	1	"The customers wonder whether the guy was attacking those students."	57
"71"	"experiment=NPI-env=superlative-npi=any-crucial_item=long-licensor=0-scope=1-npi_present=0-paradigm=1537"	"NPI"	"superlative"	"any"	"long"	"0"	"1"	"0"	"1537"	1	"The senators should praise the long commentaries that the senators have hated."	58
"73"	"experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=0-npi_present=1-paradigm=326"	"NPI"	"conditional"	"ever"	"if"	"1"	"0"	"1"	"326"	0	"If the dancers are at the museums, the boys will ever hate the actors."	59
"74"	"experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=no-licensor=1-scope=1-npi_present=0-paradigm=5404"	"NPI"	"determiner_negation_biclausal"	"any"	"no"	"1"	"1"	"0"	"5404"	1	"Just as the girl said, no cashiers had imagined that those glasses had shrunk."	60
"75"	"experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=no-licensor=1-scope=1-npi_present=0-paradigm=135"	"NPI"	"determiner_negation_biclausal"	"ever"	"no"	"1"	"1"	"0"	"135"	1	"According to the dancer, no guests had clearly said that the senators can mutter."	61
"77"	"experiment=NPI-env=superlative-npi=ever-crucial_item=cheapest-licensor=1-scope=1-npi_present=0-paradigm=957"	"NPI"	"superlative"	"ever"	"cheapest"	"1"	"1"	"0"	"957"	1	"A woman passed the cheapest mall that the driver has fortunately investigated."	61
"78"	"experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=some-licensor=0-scope=1-npi_present=1-paradigm=5655"	"NPI"	"determiner_negation_biclausal"	"any"	"some"	"0"	"1"	"1"	"5655"	0	"As the teacher knows, some senators were thinking that any essays might win."	62
"79"	"experiment=NPI-env=only-npi=any-crucial_item=_-licensor=1-scope=1-npi_present=1-paradigm=1103"	"NPI"	"only"	"any"	"_"	"1"	"1"	"1"	"1103"	1	"As the man knows, only the boys return to any schools."	62
"80"	"experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=0-npi_present=1-paradigm=69"	"NPI"	"sentential_negation_biclausal"	"ever"	"really"	"0"	"0"	"1"	"69"	0	"A cashier had ever imagined that the guys really did mutter."	62
"82"	"experiment=NPI-env=only-npi=any-crucial_item=_-licensor=1-scope=0-npi_present=1-paradigm=1560"	"NPI"	"only"	"any"	"_"	"1"	"0"	"1"	"1560"	0	"In the actress's opinion, any customers only have arrived at the malls."	63
"83"	"experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=0-scope=1-npi_present=0-paradigm=3037"	"NPI"	"simplequestions"	"any"	"?"	"0"	"1"	"0"	"3037"	1	"The dancers were praising these people."	63
"84"	"experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=1-npi_present=1-paradigm=1016"	"NPI"	"conditional"	"any"	"while"	"0"	"1"	"1"	"1016"	0	"While the waiters arrive at any schools, the students will know the adults."	64
"88"	"experiment=NPI-env=only-npi=ever-crucial_item=_-licensor=1-scope=1-npi_present=0-paradigm=653"	"NPI"	"only"	"ever"	"_"	"1"	"1"	"0"	"653"	1	"From what the patient heard, only an adult had certainly toured the restaurants."	66
"89"	"experiment=NPI-env=quantifier-npi=ever-crucial_item=-licensor=0-scope=1-npi_present=1-paradigm=1944"	"NPI"	"quantifier"	"ever"	""	"0"	"1"	"1"	"1944"	0	"Customers who ever did drive to more than three college campuses would go to some high schools."	66
"90"	"experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=0-npi_present=0-paradigm=893"	"NPI"	"questions"	"ever"	"whether"	"1"	"0"	"0"	"893"	1	"The patients obviously wonder whether the student might tour the movie theaters."	66
"92"	"experiment=NPI-env=quantifier-npi=ever-crucial_item=all-licensor=1-scope=1-npi_present=1-paradigm=1769"	"NPI"	"quantifier"	"ever"	"all"	"1"	"1"	"1"	"1769"	1	"All adults who have ever visited the doctors can visit many women."	68
"94"	"experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=0-npi_present=1-paradigm=1203"	"NPI"	"conditional"	"any"	"while"	"0"	"0"	"1"	"1203"	0	"While the children hate the waitresses, the actors will approach any dancers."	69
"95"	"experiment=NPI-env=only-npi=any-crucial_item=_-licensor=1-scope=0-npi_present=0-paradigm=1640"	"NPI"	"only"	"any"	"_"	"1"	"0"	"0"	"1640"	1	"As the adult knows, those pedestrians only were returning to the boys."	69
"96"	"experiment=NPI-env=adverbs-npi=any-crucial_item=often-licensor=0-scope=1-npi_present=1-paradigm=1898"	"NPI"	"adverbs"	"any"	"often"	"0"	"1"	"1"	"1898"	0	"The men who often bike to any hospitals should approach people."	70
"97"	"experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=1-scope=1-npi_present=0-paradigm=3764"	"NPI"	"simplequestions"	"any"	"?"	"1"	"1"	"0"	"3764"	1	"Might the people remember the public parks?"	72
"98"	"experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=1-npi_present=1-paradigm=846"	"NPI"	"sentential_negation_biclausal"	"ever"	"not"	"1"	"1"	"1"	"846"	1	"A boy might not ever explain that a customer has escaped from a pedestrian."	74
"100"	"experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=no-licensor=1-scope=0-npi_present=0-paradigm=966"	"NPI"	"determiner_negation_biclausal"	"ever"	"no"	"1"	"0"	"0"	"966"	1	"According to the student, the child has clearly thought that no dancers have profited."	76
"101"	"experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=1-scope=1-npi_present=1-paradigm=1047"	"NPI"	"simplequestions"	"ever"	"?"	"1"	"1"	"1"	"1047"	1	"Have the boys ever described the documentaries?"	76
"102"	"experiment=NPI-env=adverbs-npi=ever-crucial_item=rarely-licensor=1-scope=0-npi_present=1-paradigm=411"	"NPI"	"adverbs"	"ever"	"rarely"	"1"	"0"	"1"	"411"	0	"An adult ever thinks that a driver has rarely grinned."	77
"103"	"experiment=NPI-env=quantifier-npi=ever-crucial_item=each-licensor=1-scope=1-npi_present=0-paradigm=1565"	"NPI"	"quantifier"	"ever"	"each"	"1"	"1"	"0"	"1565"	1	"Each patient who obviously investigates a lot of malls hugs more than three teenagers."	77
"104"	"experiment=NPI-env=adverbs-npi=any-crucial_item=sometimes-licensor=0-scope=0-npi_present=1-paradigm=1258"	"NPI"	"adverbs"	"any"	"sometimes"	"0"	"0"	"1"	"1258"	0	"The children who have sometimes talked about senators talked to any people."	78
"107"	"experiment=NPI-env=superlative-npi=ever-crucial_item=most serious-licensor=1-scope=0-npi_present=0-paradigm=306"	"NPI"	"superlative"	"ever"	"most serious"	"1"	"0"	"0"	"306"	1	"The senator also forgot the most serious adult that the teenager had disliked."	78
"108"	"experiment=NPI-env=superlative-npi=any-crucial_item=longest-licensor=1-scope=0-npi_present=0-paradigm=1189"	"NPI"	"superlative"	"any"	"longest"	"1"	"0"	"0"	"1189"	1	"This fish scans the longest plays that commentaries have discussed."	78
"110"	"experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=1-scope=1-npi_present=1-paradigm=2195"	"NPI"	"simplequestions"	"any"	"?"	"1"	"1"	"1"	"2195"	1	"Could the guests attack any doctors?"	83
"114"	"experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=0-scope=1-npi_present=1-paradigm=1335"	"NPI"	"simplequestions"	"ever"	"?"	"0"	"1"	"1"	"1335"	0	"The adult will ever praise the cashiers."	86
"118"	"experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=some-licensor=0-scope=1-npi_present=1-paradigm=336"	"NPI"	"determiner_negation_biclausal"	"ever"	"some"	"0"	"1"	"1"	"336"	0	"In the actress's opinion, some teachers have ever explained that the women do buy the newspaper article."	90
"119"	"experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=some-licensor=0-scope=1-npi_present=0-paradigm=5914"	"NPI"	"determiner_negation_biclausal"	"any"	"some"	"0"	"1"	"0"	"5914"	1	"According to the driver, some actors were thinking that the people were negotiating."	90
"123"	"experiment=NPI-env=only-npi=ever-crucial_item=_-licensor=0-scope=0-npi_present=1-paradigm=164"	"NPI"	"only"	"ever"	"_"	"0"	"0"	"1"	"164"	0	"Just as the man said, the drivers had ever walked through even the cafes."	91
"125"	"experiment=NPI-env=quantifier-npi=any-crucial_item=all-licensor=1-scope=1-npi_present=1-paradigm=523"	"NPI"	"quantifier"	"any"	"all"	"1"	"1"	"1"	"523"	1	"All customers who did watch any guests explore many high schools."	92
"129"	"experiment=NPI-env=superlative-npi=ever-crucial_item=new-licensor=0-scope=1-npi_present=1-paradigm=535"	"NPI"	"superlative"	"ever"	"new"	"0"	"1"	"1"	"535"	0	"The guests liked the new plate that the patient has ever seen."	93
"135"	"experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=1-npi_present=0-paradigm=1487"	"NPI"	"conditional"	"any"	"if"	"1"	"1"	"0"	"1487"	1	"If the waitress cleans these gloves, the students will pass the libraries."	96
"136"	"experiment=NPI-env=quantifier-npi=any-crucial_item=each-licensor=1-scope=1-npi_present=0-paradigm=409"	"NPI"	"quantifier"	"any"	"each"	"1"	"1"	"0"	"409"	1	"Each teenager who would buy those forks was referencing plays."	96
"137"	"experiment=NPI-env=superlative-npi=ever-crucial_item=bad-licensor=0-scope=0-npi_present=0-paradigm=113"	"NPI"	"superlative"	"ever"	"bad"	"0"	"0"	"0"	"113"	1	"A driver also toured the bad bank that the guests had exited."	96
"138"	"experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=not-licensor=1-scope=0-npi_present=0-paradigm=5636"	"NPI"	"sentential_negation_biclausal"	"any"	"not"	"1"	"0"	"0"	"5636"	1	"Those dancers were saying that the actors are not assembling."	97
"144"	"experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=1-npi_present=0-paradigm=96"	"NPI"	"questions"	"ever"	"whether"	"0"	"1"	"0"	"96"	1	"The women say that the dancers clearly praised the books."	104
"145"	"experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=0-npi_present=0-paradigm=852"	"NPI"	"sentential_negation_biclausal"	"ever"	"really"	"0"	"0"	"0"	"852"	1	"The people could often explain that the ladies can really collaborate."	104
"146"	"experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=not-licensor=1-scope=0-npi_present=1-paradigm=5089"	"NPI"	"sentential_negation_biclausal"	"any"	"not"	"1"	"0"	"1"	"5089"	0	"Any dancers are explaining that the reports can not talk about the man."	104
"147"	"experiment=NPI-env=quantifier-npi=ever-crucial_item=every-licensor=1-scope=0-npi_present=1-paradigm=1585"	"NPI"	"quantifier"	"ever"	"every"	"1"	"0"	"1"	"1585"	0	"Every student who arrived at many cafes might ever sell a lot of books."	105
"148"	"experiment=NPI-env=adverbs-npi=ever-crucial_item=always-licensor=0-scope=0-npi_present=0-paradigm=804"	"NPI"	"adverbs"	"ever"	"always"	"0"	"0"	"0"	"804"	1	"A driver often thinks that the students might always know the deer."	107
"151"	"experiment=NPI-env=superlative-npi=ever-crucial_item=oldest-licensor=1-scope=0-npi_present=1-paradigm=418"	"NPI"	"superlative"	"ever"	"oldest"	"1"	"0"	"1"	"418"	0	"A student might ever have the oldest plate that the children had admired."	108
"156"	"experiment=NPI-env=superlative-npi=any-crucial_item=newest-licensor=1-scope=0-npi_present=1-paradigm=1417"	"NPI"	"superlative"	"any"	"newest"	"1"	"0"	"1"	"1417"	0	"Any girls admired the newest dishes that teachers have admired."	110
"161"	"experiment=NPI-env=only-npi=ever-crucial_item=_-licensor=1-scope=1-npi_present=1-paradigm=377"	"NPI"	"only"	"ever"	"_"	"1"	"1"	"1"	"377"	1	"In the actor's opinion, only the woman could ever investigate the waiters."	113
"165"	"experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=0-npi_present=0-paradigm=95"	"NPI"	"conditional"	"ever"	"if"	"1"	"0"	"0"	"95"	1	"If the girl cares for the doctors, the waitresses will clearly escape from the waiters."	115
"167"	"experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=0-npi_present=1-paradigm=1575"	"NPI"	"questions"	"any"	"whether"	"1"	"0"	"1"	"1575"	0	"Any cashiers wonder whether the senator should watch girls."	115
"178"	"experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=1-npi_present=0-paradigm=196"	"NPI"	"conditional"	"ever"	"if"	"1"	"1"	"0"	"196"	1	"If the child often criticizes the stories, the teachers will watch the doctors."	123
"181"	"experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=1-npi_present=0-paradigm=234"	"NPI"	"sentential_negation_biclausal"	"ever"	"really"	"0"	"1"	"0"	"234"	1	"A guy might really certainly explain that a teacher can sit down."	126
"182"	"experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=1-npi_present=0-paradigm=5814"	"NPI"	"sentential_negation_biclausal"	"any"	"really"	"0"	"1"	"0"	"5814"	1	"The patients are really explaining that these commentaries were winning."	126
"183"	"experiment=NPI-env=superlative-npi=ever-crucial_item=smallest-licensor=1-scope=1-npi_present=1-paradigm=977"	"NPI"	"superlative"	"ever"	"smallest"	"1"	"1"	"1"	"977"	1	"The ladies would insult the smallest cafes that the people had ever biked to."	126
"184"	"experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=0-npi_present=1-paradigm=1134"	"NPI"	"conditional"	"any"	"if"	"1"	"0"	"1"	"1134"	0	"If the patients approach the guests, the waitresses will escape from any restaurants."	127
"186"	"experiment=NPI-env=adverbs-npi=any-crucial_item=scarcely-licensor=1-scope=0-npi_present=0-paradigm=1630"	"NPI"	"adverbs"	"any"	"scarcely"	"1"	"0"	"0"	"1630"	1	"A cashier who will scarcely bring pants has listened to those drivers."	130
"187"	"experiment=NPI-env=only-npi=ever-crucial_item=_-licensor=0-scope=0-npi_present=0-paradigm=456"	"NPI"	"only"	"ever"	"_"	"0"	"0"	"0"	"456"	1	"Just as the patient said, the people have certainly been at even the schools."	130
"192"	"experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=0-npi_present=0-paradigm=1635"	"NPI"	"questions"	"any"	"whether"	"1"	"0"	"0"	"1635"	1	"Those girls wonder whether the adult dislikes stories."	133
"196"	"experiment=NPI-env=only-npi=ever-crucial_item=_-licensor=1-scope=0-npi_present=1-paradigm=42"	"NPI"	"only"	"ever"	"_"	"1"	"0"	"1"	"42"	0	"As the customer knows, the patients ever loved only the girls."	135
