item_1_condition,field_1_1,item_2_condition,field_2_1,item_3_condition,field_3_1,item_4_condition,field_4_1,item_5_condition,field_5_1,list
experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=0-npi_present=0-paradigm=1069-acceptability=1,"If the adults talk to the boys, the doctors will bike to the movie theaters.",experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=0-npi_present=1-paradigm=157-acceptability=0,The teachers have ever said that the doctors might really examine the essays.,experiment=NPI-env=adverbs-npi=ever-crucial_item=sometimes-licensor=0-scope=0-npi_present=1-paradigm=252-acceptability=0,The guy ever said that the pedestrians have sometimes spoken up.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=superlative-npi=any-crucial_item=worst-licensor=1-scope=0-npi_present=1-paradigm=1606-acceptability=0,Any patients lifted the worst rug that actresses had sold.,11
experiment=NPI-env=superlative-npi=any-crucial_item=most important-licensor=1-scope=1-npi_present=1-paradigm=1143-acceptability=1,The men have hugged the most important teachers that any people have returned to.,experiment=NPI-env=quantifier-npi=ever-crucial_item=-licensor=0-scope=0-npi_present=0-paradigm=1932-acceptability=1,People who did see many gloves obviously do visit some patients.,experiment=NPI-env=superlative-npi=ever-crucial_item=old-licensor=0-scope=1-npi_present=1-paradigm=395-acceptability=0,The dancers work with the old senator that the plays had ever described.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=adverbs-npi=ever-crucial_item=seldom-licensor=1-scope=0-npi_present=0-paradigm=97-acceptability=1,The women also think that the dancer has seldom sung.,12
experiment=NPI-env=quantifier-npi=any-crucial_item=all-licensor=1-scope=1-npi_present=0-paradigm=639-acceptability=1,All customers who wear the glasses sold dishes.,experiment=NPI-env=superlative-npi=any-crucial_item=most serious-licensor=1-scope=1-npi_present=0-paradigm=1571-acceptability=1,The movies have discussed the most serious boys that the waiters have kissed.,experiment=NPI-env=quantifier-npi=ever-crucial_item=the-licensor=0-scope=0-npi_present=1-paradigm=1017-acceptability=0,The girl who cleaned some gloves ever toured a lot of schools.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=1-npi_present=1-paradigm=70-acceptability=1,"If the person ever talks to the pedestrians, the actors will bring the newspaper articles.",13
experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=0-npi_present=1-paradigm=133-acceptability=0,Every guy who has listened to a lot of senators boycotts any schools.,experiment=NPI-env=superlative-npi=any-crucial_item=longest-licensor=1-scope=0-npi_present=0-paradigm=1189-acceptability=1,This fish scans the longest plays that commentaries have discussed.,experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=1-npi_present=0-paradigm=763-acceptability=1,The girls might not certainly say that the teenagers have interacted.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=0-npi_present=0-paradigm=20-acceptability=1,The cashiers obviously wonder whether the actress has cared for the guys.,14
experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=1-npi_present=1-paradigm=1052-acceptability=0,The teenagers say that the boy hugged any waiters.,experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=no-licensor=1-scope=1-npi_present=1-paradigm=5298-acceptability=1,"As the woman knows, no doctors have thought that any patients have boycotted the hospitals.",experiment=NPI-env=quantifier-npi=any-crucial_item=some-licensor=0-scope=1-npi_present=1-paradigm=384-acceptability=0,Some dancer who was working with any patients had explored many hospitals.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=0-npi_present=0-paradigm=374-acceptability=1,The dancers also do explain that the documentaries not do disagree.,15
experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=1-scope=1-npi_present=0-paradigm=93-acceptability=1,Was the pedestrian often listening to the customers?,experiment=NPI-env=adverbs-npi=any-crucial_item=often-licensor=0-scope=1-npi_present=0-paradigm=1984-acceptability=1,The student who has often sold these shoes runs around college campuses.,experiment=NPI-env=adverbs-npi=ever-crucial_item=scarcely-licensor=1-scope=0-npi_present=0-paradigm=403-acceptability=1,The boys obviously think that a student might scarcely study.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=1-npi_present=0-paradigm=5996-acceptability=1,These boys are really thinking that those children would exercise.,16
experiment=NPI-env=only-npi=ever-crucial_item=_-licensor=0-scope=1-npi_present=1-paradigm=353-acceptability=0,"In the waiter's opinion, even the actresses can ever admire the guests.",experiment=NPI-env=adverbs-npi=any-crucial_item=always-licensor=0-scope=1-npi_present=1-paradigm=1800-acceptability=0,The adult who has always talked to any guys liked cars.,experiment=NPI-env=superlative-npi=any-crucial_item=worst-licensor=1-scope=1-npi_present=0-paradigm=1445-acceptability=1,The brochures had referenced the worst plays that the children have loved.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=not-licensor=1-scope=0-npi_present=0-paradigm=5057-acceptability=1,Those children did say that those women have not protested.,17
experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=0-npi_present=1-paradigm=404-acceptability=0,"While the boys know the students, the doctor will ever describe the guests.",experiment=NPI-env=adverbs-npi=ever-crucial_item=scarcely-licensor=1-scope=0-npi_present=0-paradigm=607-acceptability=1,The women also say that the patients scarcely chatted.,experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=0-npi_present=1-paradigm=515-acceptability=0,The adults have ever imagined that the guest had not fled from the guys.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=adverbs-npi=any-crucial_item=often-licensor=0-scope=1-npi_present=1-paradigm=1898-acceptability=0,The men who often bike to any hospitals should approach people.,18
experiment=NPI-env=quantifier-npi=ever-crucial_item=the-licensor=0-scope=0-npi_present=1-paradigm=1441-acceptability=0,The boys who love many patients ever explore schools.,experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=1-npi_present=1-paradigm=831-acceptability=1,"If the man ever goes to the grocery stores, the women will like the ladies.",experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=no-licensor=1-scope=1-npi_present=0-paradigm=5919-acceptability=1,"Just as the boy said, no guests said that these actors were painting.",attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=1-scope=1-npi_present=1-paradigm=1047-acceptability=1,Have the boys ever described the documentaries?,19
experiment=NPI-env=only-npi=any-crucial_item=_-licensor=0-scope=1-npi_present=1-paradigm=1674-acceptability=0,"From what the cashier heard, even the cashiers watch any guests.",experiment=NPI-env=only-npi=ever-crucial_item=_-licensor=1-scope=1-npi_present=0-paradigm=152-acceptability=1,"Just as the woman said, only the teachers clearly skated around the public parks.",experiment=NPI-env=superlative-npi=ever-crucial_item=big-licensor=0-scope=1-npi_present=0-paradigm=15-acceptability=1,A person would hate the big guest that the people have also admired.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=some-licensor=0-scope=0-npi_present=1-paradigm=5164-acceptability=0,"Just as the lady said, any patients say that some plays have won.",20
experiment=NPI-env=only-npi=ever-crucial_item=_-licensor=1-scope=1-npi_present=0-paradigm=653-acceptability=1,"From what the patient heard, only an adult had certainly toured the restaurants.",experiment=NPI-env=quantifier-npi=ever-crucial_item=-licensor=0-scope=1-npi_present=1-paradigm=1944-acceptability=0,Customers who ever did drive to more than three college campuses would go to some high schools.,experiment=NPI-env=adverbs-npi=ever-crucial_item=always-licensor=0-scope=0-npi_present=0-paradigm=560-acceptability=1,The actress clearly explains that a senator has always complained.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=1-npi_present=0-paradigm=1797-acceptability=1,The actresses say that the dancers pass those libraries.,21
experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=some-licensor=0-scope=0-npi_present=1-paradigm=262-acceptability=0,"Just as the patient said, a senator ever did imagine that some teenagers saluted.",experiment=NPI-env=quantifier-npi=any-crucial_item=some-licensor=0-scope=1-npi_present=1-paradigm=22-acceptability=0,Some person who described any actors has attacked the people.,experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=1-npi_present=0-paradigm=1213-acceptability=1,The women say that the patients are criticizing the teenagers.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=superlative-npi=any-crucial_item=youngest-licensor=1-scope=1-npi_present=1-paradigm=1808-acceptability=1,The ladies had kissed the youngest actors that any teachers had known.,22
experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=1-npi_present=0-paradigm=870-acceptability=1,Every patient who left those senators would listen to many patients.,experiment=NPI-env=only-npi=any-crucial_item=_-licensor=0-scope=0-npi_present=1-paradigm=1598-acceptability=0,"From what the teenager heard, any customers even boycotted the movie theaters.",experiment=NPI-env=only-npi=ever-crucial_item=_-licensor=0-scope=1-npi_present=0-paradigm=806-acceptability=1,"In the man's opinion, even the guests can really buy the reports.",attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=1-npi_present=0-paradigm=281-acceptability=1,"If the cashier obviously escapes from the pedestrians, the adult will bring the shoes.",23
experiment=NPI-env=quantifier-npi=any-crucial_item=a-licensor=0-scope=0-npi_present=1-paradigm=131-acceptability=0,A senator who passed more than three banks has biked to any public parks.,experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=not-licensor=1-scope=0-npi_present=0-paradigm=5636-acceptability=1,Those dancers were saying that the actors are not assembling.,experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=1-npi_present=0-paradigm=406-acceptability=1,The actors say that the driver fortunately had the rugs.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=adverbs-npi=any-crucial_item=seldom-licensor=1-scope=1-npi_present=1-paradigm=1868-acceptability=1,The girls who seldom walk through any public parks will know customers.,24
experiment=NPI-env=quantifier-npi=any-crucial_item=all-licensor=1-scope=0-npi_present=1-paradigm=561-acceptability=0,All teenagers who hugged some customers returned to any teachers.,experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=0-npi_present=1-paradigm=365-acceptability=0,The guests ever wonder whether the waitresses run around the banks.,experiment=NPI-env=superlative-npi=any-crucial_item=big-licensor=0-scope=0-npi_present=1-paradigm=1286-acceptability=0,Any actors have admired the big books that pedestrians had brought.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=some-licensor=0-scope=0-npi_present=0-paradigm=777-acceptability=1,"Just as the customer said, the people will really say that some students murmur.",25
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=1-npi_present=1-paradigm=206-acceptability=0,The boys say that the teenager ever could pass the museums.,experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=0-npi_present=0-paradigm=1283-acceptability=1,"If the customer examines the stories, the drivers will visit those cafes.",experiment=NPI-env=adverbs-npi=ever-crucial_item=often-licensor=0-scope=0-npi_present=1-paradigm=626-acceptability=0,The customers ever explained that the dancer has often talked to the mouse.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=0-npi_present=0-paradigm=8-acceptability=1,"If the men talk to the cashiers, the student will also bring the newspaper articles.",26
experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=1-npi_present=0-paradigm=1723-acceptability=1,"If the guy attacks the customers, the dancers will run around the art galleries.",experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=1-npi_present=1-paradigm=795-acceptability=0,"While the teenagers ever drive to the grocery stores, the teenager will hate the cashiers.",experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=0-scope=1-npi_present=1-paradigm=713-acceptability=0,The pedestrian is ever escaping from the waitresses.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=quantifier-npi=ever-crucial_item=all-licensor=1-scope=0-npi_present=1-paradigm=1460-acceptability=0,All children who do criticize some dancers have ever cleaned many forks.,27
experiment=NPI-env=adverbs-npi=any-crucial_item=hardly-licensor=1-scope=1-npi_present=0-paradigm=1209-acceptability=1,The child who hardly respected the art galleries had admired actors.,experiment=NPI-env=superlative-npi=any-crucial_item=small-licensor=0-scope=1-npi_present=1-paradigm=1474-acceptability=0,The drivers bike to the small high school that any customers had described.,experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=1-npi_present=0-paradigm=592-acceptability=1,The doctor should really clearly say that a woman should talk about an report.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=215-acceptability=1,The actors clearly say that the patient went to the grocery stores.,28
experiment=NPI-env=adverbs-npi=any-crucial_item=hardly-licensor=1-scope=1-npi_present=0-paradigm=1449-acceptability=1,An actress who hardly criticized those actresses cleaned rugs.,experiment=NPI-env=only-npi=ever-crucial_item=_-licensor=0-scope=1-npi_present=0-paradigm=790-acceptability=1,"Just as the dancer said, even the boys can often lift the glasses.",experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=1-npi_present=0-paradigm=142-acceptability=1,The teenagers had really clearly thought that the newspaper articles have referenced the actors.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=superlative-npi=ever-crucial_item=bad-licensor=0-scope=1-npi_present=0-paradigm=836-acceptability=1,The teenagers hugged the bad guest that the guests have often investigated.,29
experiment=NPI-env=adverbs-npi=ever-crucial_item=sometimes-licensor=0-scope=1-npi_present=1-paradigm=836-acceptability=0,The students sometimes ever imagined that the senators divorce.,experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=0-npi_present=0-paradigm=864-acceptability=1,The men obviously wonder whether the guests lift the shoes.,experiment=NPI-env=only-npi=any-crucial_item=_-licensor=0-scope=1-npi_present=0-paradigm=1225-acceptability=1,"In the man's opinion, even the actors had exited the libraries.",attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=0-scope=1-npi_present=0-paradigm=3753-acceptability=1,The actresses had hated the women.,30
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=342-acceptability=1,The girls also say that the boy knows the doctors.,experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=0-npi_present=0-paradigm=348-acceptability=1,"While the waitress hugs the students, the boys will fortunately exit the banks.",experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=1-scope=1-npi_present=0-paradigm=1553-acceptability=1,Was the actor often being at the libraries?,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=superlative-npi=any-crucial_item=serious-licensor=0-scope=0-npi_present=1-paradigm=1097-acceptability=0,Any documentaries could insult the serious pedestrians that customers have cared for.,31
experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=177-acceptability=1,The pedestrians obviously say that the teacher had escaped from the senators.,experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=1-scope=1-npi_present=1-paradigm=694-acceptability=1,Could the actress ever talk to the waiters?,experiment=NPI-env=only-npi=ever-crucial_item=_-licensor=0-scope=0-npi_present=1-paradigm=164-acceptability=0,"Just as the man said, the drivers had ever walked through even the cafes.",attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=0-npi_present=1-paradigm=5368-acceptability=0,Any pedestrians were thinking that those dancers have really joked around.,32
experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=1-npi_present=0-paradigm=5598-acceptability=1,Those patients are really saying that those boys had laughed.,experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=0-npi_present=0-paradigm=852-acceptability=1,The people could often explain that the ladies can really collaborate.,experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=no-licensor=1-scope=0-npi_present=0-paradigm=5492-acceptability=1,"As the child knows, these waiters think that no pedestrians buy the glass.",attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=only-npi=ever-crucial_item=_-licensor=1-scope=1-npi_present=1-paradigm=144-acceptability=1,"Just as the teacher said, only a guy could ever criticize the cashiers.",33
experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=some-licensor=0-scope=1-npi_present=0-paradigm=923-acceptability=1,"Just as the person said, some waiter will often say that the cashiers can exit the museums.",experiment=NPI-env=adverbs-npi=ever-crucial_item=sometimes-licensor=0-scope=0-npi_present=1-paradigm=801-acceptability=0,The pedestrian ever thinks that the women might sometimes succeed.,experiment=NPI-env=only-npi=ever-crucial_item=_-licensor=0-scope=0-npi_present=1-paradigm=360-acceptability=0,"According to the actor, the guys had ever worn even the shoes.",attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=superlative-npi=ever-crucial_item=fastest-licensor=1-scope=0-npi_present=0-paradigm=517-acceptability=1,The waiters obviously help the fastest waiters that the student has loved.,34
experiment=NPI-env=adverbs-npi=any-crucial_item=hardly-licensor=1-scope=1-npi_present=1-paradigm=1821-acceptability=1,The cashiers who hardly sell any forks took cups.,experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=1-paradigm=1051-acceptability=0,Any cashiers say that the customers reference the waiters.,experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=0-scope=1-npi_present=0-paradigm=3427-acceptability=1,The adults could clean these gloves.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=1-npi_present=1-paradigm=260-acceptability=0,The students say that the children ever escaped from the men.,35
experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=1202-acceptability=1,The people wonder whether the actor is kissing any pedestrians.,experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=no-licensor=1-scope=0-npi_present=0-paradigm=900-acceptability=1,"Just as the cashier said, a senator has clearly imagined that no customers will reunite.",experiment=NPI-env=only-npi=ever-crucial_item=_-licensor=1-scope=0-npi_present=0-paradigm=124-acceptability=1,"According to the pedestrian, the guys had certainly skated around only the cafes.",attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=not-licensor=1-scope=1-npi_present=1-paradigm=5115-acceptability=1,The doctors are not explaining that any newspaper articles could win.,36
experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=1-npi_present=0-paradigm=1487-acceptability=1,"If the waitress cleans these gloves, the students will pass the libraries.",experiment=NPI-env=adverbs-npi=ever-crucial_item=rarely-licensor=1-scope=1-npi_present=0-paradigm=294-acceptability=1,The student rarely clearly thinks that the women suffered.,experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=some-licensor=0-scope=0-npi_present=1-paradigm=5691-acceptability=0,"As the doctor knows, any actresses imagine that some teenagers did stand up.",attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=quantifier-npi=any-crucial_item=-licensor=0-scope=1-npi_present=0-paradigm=114-acceptability=1,Patients who broke those glasses had criticized more than three pedestrians.,37
