experiment name	run name	in domain accuracy	out of domain accuracy	1/1	1/0	0/1	0/0
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_100	run_17	1.0	1.0	0.0	1.0	0.0	0.0
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_100	run_7	1.0	0.9	0.16	0.8	0.0	0.04
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_100	run_13	1.0	0.86	0.28	0.72	0.0	0.0
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_100	run_0	1.0	0.98	0.0	0.96	0.0	0.04
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_100	run_16	1.0	0.84	0.32	0.68	0.0	0.0
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_100	run_11	1.0	0.92	0.16	0.84	0.0	0.0
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_100	run_1	1.0	1.0	0.0	1.0	0.0	0.0
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_100	run_5	1.0	0.9	0.2	0.8	0.0	0.0
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_100	run_3	0.98	0.92	0.0	0.84	0.0	0.16
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_100	run_2	1.0	1.0	0.0	1.0	0.0	0.0
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_100	run_15	1.0	0.94	0.12	0.88	0.0	0.0
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_100	run_19	1.0	0.86	0.24	0.72	0.0	0.04
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_100	run_18	1.0	0.96	0.08	0.92	0.0	0.0
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_100	run_9	0.96	0.92	0.08	0.84	0.0	0.08
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_100	run_6	0.58	0.64	0.68	0.28	0.0	0.04
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_1k	run_14	1.0	0.984	0.012	0.968	0.0	0.02
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_1k	run_12	1.0	1.0	0.0	1.0	0.0	0.0
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_1k	run_4	0.998	0.996	0.004	0.992	0.0	0.004
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_1k	run_8	1.0	0.99	0.004	0.98	0.0	0.016
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_1k	run_17	0.996	0.974	0.008	0.948	0.0	0.044
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_1k	run_10	0.99	0.924	0.0	0.848	0.0	0.152
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_1k	run_7	1.0	0.998	0.004	0.996	0.0	0.0
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_1k	run_13	1.0	0.986	0.016	0.972	0.0	0.012
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_1k	run_0	0.99	0.96	0.012	0.92	0.0	0.068
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_1k	run_16	1.0	0.982	0.032	0.964	0.0	0.004
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_1k	run_11	0.998	0.974	0.0	0.948	0.0	0.052
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_1k	run_1	1.0	0.944	0.024	0.888	0.0	0.088
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_1k	run_5	0.998	0.996	0.008	0.992	0.0	0.0
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_1k	run_3	1.0	0.884	0.0	0.768	0.0	0.232
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_1k	run_2	1.0	0.944	0.104	0.888	0.0	0.008
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_1k	run_15	0.998	0.662	0.084	0.324	0.0	0.592
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_1k	run_19	1.0	0.99	0.02	0.98	0.0	0.0
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_1k	run_18	0.878	0.868	0.264	0.736	0.0	0.0
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_1k	run_9	1.0	0.998	0.004	0.996	0.0	0.0
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_1k	run_6	1.0	0.974	0.012	0.948	0.0	0.04
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_3k	run_14	0.9993333333333333	0.9973333333333333	0.0026666666666666666	0.9946666666666667	0.0	0.0026666666666666666
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_3k	run_12	0.9993333333333333	0.9973333333333333	0.0026666666666666666	0.9946666666666667	0.0	0.0026666666666666666
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_3k	run_4	1.0	0.944	0.016	0.888	0.0	0.096
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_3k	run_8	1.0	0.9473333333333334	0.0	0.8946666666666667	0.0	0.10533333333333333
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_3k	run_17	1.0	0.9953333333333333	0.0013333333333333333	0.9906666666666667	0.0	0.008
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_3k	run_10	1.0	0.996	0.005333333333333333	0.992	0.0	0.0026666666666666666
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_3k	run_7	0.9993333333333333	0.998	0.0	0.996	0.0	0.004
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_3k	run_13	0.9993333333333333	0.9886666666666667	0.02266666666666667	0.9773333333333334	0.0	0.0
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_3k	run_0	0.9993333333333333	0.986	0.009333333333333334	0.972	0.0	0.018666666666666668
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_3k	run_16	1.0	0.9886666666666667	0.02266666666666667	0.9773333333333334	0.0	0.0
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_3k	run_11	0.9993333333333333	0.9986666666666667	0.0013333333333333333	0.9973333333333333	0.0	0.0013333333333333333
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_3k	run_1	1.0	0.9886666666666667	0.02266666666666667	0.9773333333333334	0.0	0.0
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_3k	run_5	0.9993333333333333	1.0	0.0	1.0	0.0	0.0
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_3k	run_3	0.9993333333333333	0.97	0.036	0.94	0.0	0.024
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_3k	run_2	0.9993333333333333	0.99	0.0013333333333333333	0.98	0.0	0.018666666666666668
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_3k	run_15	1.0	0.974	0.0	0.948	0.0	0.052
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_3k	run_19	1.0	0.996	0.008	0.992	0.0	0.0
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_3k	run_18	1.0	0.9973333333333333	0.005333333333333333	0.9946666666666667	0.0	0.0
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_3k	run_9	0.9993333333333333	0.9253333333333333	0.14933333333333335	0.8506666666666667	0.0	0.0
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_3k	run_6	1.0	0.9986666666666667	0.0	0.9973333333333333	0.0	0.0026666666666666666
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_10k	run_14	0.9996	0.996	0.0	0.992	0.0	0.008
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_10k	run_12	1.0	0.9962	0.0	0.9924	0.0	0.0076
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_10k	run_4	1.0	0.9992	0.0	0.9984	0.0	0.0016
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_10k	run_8	0.9998	0.9966	0.0032	0.9932	0.0	0.0036
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_10k	run_17	1.0	0.9826	0.0332	0.9652	0.0	0.0016
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_10k	run_10	0.9998	0.9968	0.0056	0.9936	0.0	0.0008
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_10k	run_7	1.0	0.9972	0.0004	0.9944	0.0	0.0052
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_10k	run_13	1.0	0.994	0.0	0.988	0.0	0.012
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_10k	run_0	0.9998	0.886	0.2248	0.772	0.0	0.0032
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_10k	run_16	1.0	0.9978	0.0	0.9956	0.0	0.0044
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_10k	run_11	1.0	0.9914	0.002	0.9828	0.0	0.0152
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_10k	run_1	1.0	0.998	0.004	0.996	0.0	0.0
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_10k	run_5	1.0	0.9988	0.0	0.9976	0.0	0.0024
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_10k	run_3	0.9996	0.9498	0.052	0.8996	0.0	0.0484
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_10k	run_2	1.0	0.9922	0.0048	0.9844	0.0	0.0108
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_10k	run_15	0.9996	0.999	0.0	0.998	0.0	0.002
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_10k	run_19	1.0	0.988	0.024	0.976	0.0	0.0
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_10k	run_18	0.9998	0.995	0.0064	0.99	0.0	0.0036
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_10k	run_9	0.9998	0.9918	0.01	0.9836	0.0	0.0064
/scratch/asw462/jiant/structure_dependence/embedded_tense/embedded_tense_10k	run_6	1.0	0.999	0.0008	0.998	0.0	0.0012
